root@escobar:/zalert/temp/fuzz# ./ffuf -u http://FUZZ.monster.com -w sub_rand_3000000_11582871.txt -x http://192.168.189.130:8080 -of json -o monster-sub-fuzz.jser-log-3M.ffuf

        /'___\  /'___\           /'___\       
       /\ \__/ /\ \__/  __  __  /\ \__/       
       \ \ ,__\\ \ ,__\/\ \/\ \ \ \ ,__\      
        \ \ \_/ \ \ \_/\ \ \_\ \ \ \ \_/      
         \ \_\   \ \_\  \ \____/  \ \_\       
          \/_/    \/_/   \/___/    \/_/       

       v2.1.0
________________________________________________

 :: Method           : GET
 :: URL              : http://FUZZ.monster.com
 :: Wordlist         : FUZZ: /zalert/temp/fuzz/sub_rand_3000000_11582871.txt
 :: Output file      : monster-sub-fuzz.jser-log-3M.ffuf
 :: File format      : json
 :: Follow redirects : false
 :: Calibration      : false
 :: Proxy            : http://192.168.189.130:8080
 :: Timeout          : 10
 :: Threads          : 40
 :: Matcher          : Response status: 200-299,301,302,307,401,403,405,500
________________________________________________

gtm-ms98jsr-ytbkz.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1729ms]
dienmay-danang.r        [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1580ms]
latex.r                 [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1598ms]
gtm-md78wpx-zdazm.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1795ms]
gtm-nz5nrkb-ndq1y.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1691ms]
gtm-5whpm9q-ngmzy.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1724ms]
gtm-tpdr3nn-ywiwy.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1625ms]
quicktour               [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1369ms]
2311cdn.r               [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1500ms]
alerts                  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1166ms]
gtm-tkcb665-zwqyn.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 2676ms]
gtm-w8k7jdh-mza1y.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1754ms]
static-gafaba.r         [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1500ms]
wwwtst2.cms.r           [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1917ms]
dev.promo               [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1461ms]
gtm-kzgmvwf-mju5y.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1836ms]
gtm-nhc9r99-mzq2m.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1926ms]
gtm-nmjb4w2-mtdmo.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 7334ms]
gtm-w4fk5jn-mmiyo.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 2331ms]
gtm-tshbfnb-othin.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1765ms]
:: Progress: [3000000/3000000] :: Job [1/1] :: 1980 req/sec :: Duration: [1:47:28] :: Errors: 2855159 ::
